Compiling 1 file (.ex)
Generated main app
50-5=45      c: 0, revs: 0
92-29=63     c: 466, revs: 0
63+414=77    c: 466, revs: 4
77+23=0      c: 470, revs: 1
0+39=39      c: 471, revs: 0
39+61=0      c: 471, revs: 1
0+91=91      c: 472, revs: 0
91-55=36     c: 472, revs: 0
36+41=77     c: 472, revs: 0
77-77=0      c: 472, revs: 1
0+273=73     c: 473, revs: 2
73-32=41     c: 475, revs: 0
41+59=0      c: 475, revs: 1
0-579=21     c: 476, revs: 5
21-83=38     c: 481, revs: 1
38+53=91     c: 482, revs: 0
91-27=64     c: 482, revs: 0
64+46=10     c: 482, revs: 1
10-7=3       c: 483, revs: 0
3+97=0       c: 483, revs: 1
0+80=80      c: 484, revs: 0
80-92=88     c: 484, revs: 1
88-88=0      c: 485, revs: 1
0-65=35      c: 486, revs: 0
35+45=80     c: 486, revs: 0
80+20=0      c: 486, revs: 1
0-88=12      c: 487, revs: 0
12-61=51     c: 487, revs: 1
51-33=18     c: 488, revs: 0
18+19=37     c: 488, revs: 0
37-57=80     c: 488, revs: 1
80+59=39     c: 489, revs: 1
39+16=55     c: 490, revs: 0
55+45=0      c: 490, revs: 1
0+442=42     c: 491, revs: 4
42+21=63     c: 495, revs: 0
63+37=0      c: 495, revs: 1
0-69=31      c: 496, revs: 0
31+376=7     c: 496, revs: 4
7+23=30      c: 500, revs: 0
30+70=0      c: 500, revs: 1
0+96=96      c: 501, revs: 0
96+43=39     c: 501, revs: 1
39-41=98     c: 502, revs: 1
98+21=19     c: 503, revs: 1
19-61=58     c: 504, revs: 1
58-124=34    c: 505, revs: 1
34-872=62    c: 506, revs: 9
62-54=8      c: 515, revs: 0
8+73=81      c: 515, revs: 0
81+19=0      c: 515, revs: 1
0-95=5       c: 516, revs: 0
5-15=90      c: 516, revs: 1
90-90=0      c: 517, revs: 1
0+920=20     c: 518, revs: 9
20-62=58     c: 527, revs: 1
58+43=1      c: 528, revs: 1
1+99=0       c: 529, revs: 1
0+3=3        c: 530, revs: 0
3-944=59     c: 530, revs: 10
59-59=0      c: 540, revs: 1
0-106=94     c: 541, revs: 1
94+97=91     c: 542, revs: 1
91-91=0      c: 543, revs: 1
0-59=41      c: 544, revs: 0
41-35=6      c: 544, revs: 0
6+33=39      c: 544, revs: 0
39+61=0      c: 544, revs: 1
0+52=52      c: 545, revs: 0
52-77=75     c: 545, revs: 1
75+31=6      c: 546, revs: 1
6-33=73      c: 547, revs: 1
73+696=69    c: 548, revs: 7
69-19=50     c: 555, revs: 0
50-83=67     c: 555, revs: 1
67+45=12     c: 556, revs: 1
12+77=89     c: 557, revs: 0
89-45=44     c: 557, revs: 0
44-4=40      c: 557, revs: 0
40+45=85     c: 557, revs: 0
85+86=71     c: 557, revs: 1
71+29=0      c: 558, revs: 1
0+49=49      c: 559, revs: 0
49-1=48      c: 559, revs: 0
48-79=69     c: 559, revs: 1
69-35=34     c: 560, revs: 0
34-283=51    c: 560, revs: 3
51+48=99     c: 563, revs: 0
99-57=42     c: 563, revs: 0
42-38=4      c: 563, revs: 0
4+96=0       c: 563, revs: 1
0-7=93       c: 564, revs: 0
93+12=5      c: 564, revs: 1
5+247=52     c: 565, revs: 2
52+98=50     c: 567, revs: 1
50-24=26     c: 568, revs: 0
26-3=23      c: 568, revs: 0
23+77=0      c: 568, revs: 1
0+93=93      c: 569, revs: 0
93-93=0      c: 569, revs: 1
0-4=96       c: 570, revs: 0
96+31=27     c: 570, revs: 1
27-61=66     c: 571, revs: 1
66+80=46     c: 572, revs: 1
46-46=0      c: 573, revs: 1
0-49=51      c: 574, revs: 0
51+697=48    c: 574, revs: 7
48+52=0      c: 581, revs: 1
0-92=8       c: 582, revs: 0
8+95=3       c: 582, revs: 1
3+877=80     c: 583, revs: 8
80+59=39     c: 591, revs: 1
39-17=22     c: 592, revs: 0
22+25=47     c: 592, revs: 0
47+7=54      c: 592, revs: 0
54-792=62    c: 592, revs: 8
62-707=55    c: 600, revs: 7
55-55=0      c: 607, revs: 1
0-98=2       c: 608, revs: 0
2+571=73     c: 608, revs: 5
73+74=47     c: 613, revs: 1
47+74=21     c: 614, revs: 1
21-27=94     c: 615, revs: 1
94-794=0     c: 616, revs: 8
0+23=23      c: 624, revs: 0
23-94=29     c: 624, revs: 1
29+26=55     c: 625, revs: 0
55-55=0      c: 625, revs: 1
0+856=56     c: 626, revs: 8
56-515=41    c: 634, revs: 5
41+71=12     c: 639, revs: 1
12+88=0      c: 640, revs: 1
0-5=95       c: 641, revs: 0
95-732=63    c: 641, revs: 7
63-63=0      c: 648, revs: 1
0+6=6        c: 649, revs: 0
6-6=0        c: 649, revs: 1
0+684=84     c: 650, revs: 6
84-10=74     c: 656, revs: 0
74+55=29     c: 656, revs: 1
29-20=9      c: 657, revs: 0
9-24=85      c: 657, revs: 1
85+24=9      c: 658, revs: 1
9-909=0      c: 659, revs: 10
0+32=32      c: 669, revs: 0
32+705=37    c: 669, revs: 7
37+47=84     c: 676, revs: 0
84-84=0      c: 676, revs: 1
0-77=23      c: 677, revs: 0
23+48=71     c: 677, revs: 0
71+29=0      c: 677, revs: 1
0+56=56      c: 678, revs: 0
56+44=0      c: 678, revs: 1
0-852=48     c: 679, revs: 8
48+84=32     c: 687, revs: 1
32+99=31     c: 688, revs: 1
31+69=0      c: 689, revs: 1
0+47=47      c: 690, revs: 0
47-5=42      c: 690, revs: 0
42+258=0     c: 690, revs: 3
0-32=68      c: 693, revs: 0
68+32=0      c: 693, revs: 1
0-5=95       c: 694, revs: 0
95+46=41     c: 694, revs: 1
41-87=54     c: 695, revs: 1
54+446=0     c: 696, revs: 5
0-85=15      c: 701, revs: 0
15-15=0      c: 701, revs: 1
0+68=68      c: 702, revs: 0
68+32=0      c: 702, revs: 1
0-51=49      c: 703, revs: 0
49+61=10     c: 703, revs: 1
10+55=65     c: 704, revs: 0
65+69=34     c: 704, revs: 1
34+37=71     c: 705, revs: 0
71-11=60     c: 705, revs: 0
60-460=0     c: 705, revs: 5
0-61=39      c: 710, revs: 0
39-39=0      c: 710, revs: 1
0+36=36      c: 711, revs: 0
36-93=43     c: 711, revs: 1
43-282=61    c: 712, revs: 3
61-95=66     c: 715, revs: 1
66-92=74     c: 716, revs: 1
74-26=48     c: 717, revs: 0
48-44=4      c: 717, revs: 0
4+23=27      c: 717, revs: 0
27+77=4      c: 717, revs: 1
4+71=75      c: 718, revs: 0
75+17=92     c: 718, revs: 0
92+1=93      c: 718, revs: 0
93+54=47     c: 718, revs: 1
47-70=77     c: 719, revs: 1
77-36=41     c: 720, revs: 0
41-41=0      c: 720, revs: 1
0+48=48      c: 721, revs: 0
48+752=0     c: 721, revs: 8
0+79=79      c: 729, revs: 0
79-67=12     c: 729, revs: 0
12+79=91     c: 729, revs: 0
91-333=58    c: 729, revs: 3
58-58=0      c: 732, revs: 1
0+28=28      c: 733, revs: 0
28-53=75     c: 733, revs: 1
75+16=91     c: 734, revs: 0
91-91=0      c: 734, revs: 1
0+97=97      c: 735, revs: 0
97+9=6       c: 735, revs: 1
6-806=0      c: 736, revs: 9
0+77=77      c: 745, revs: 0
77+59=36     c: 745, revs: 1
36-93=43     c: 746, revs: 1
43-35=8      c: 747, revs: 0
8-813=95     c: 747, revs: 9
95+905=0     c: 756, revs: 10
0+25=25      c: 766, revs: 0
25+75=0      c: 766, revs: 1
0+48=48      c: 767, revs: 0
48+722=70    c: 767, revs: 7
70-50=20     c: 774, revs: 0
20-47=73     c: 774, revs: 1
73-73=0      c: 775, revs: 1
0+99=99      c: 776, revs: 0
99+50=49     c: 776, revs: 1
49-16=33     c: 777, revs: 0
33-19=14     c: 777, revs: 0
14+65=79     c: 777, revs: 0
79+7=86      c: 777, revs: 0
86-48=38     c: 777, revs: 0
38+62=0      c: 777, revs: 1
0+19=19      c: 778, revs: 0
19-65=54     c: 778, revs: 1
54+88=42     c: 779, revs: 1
42-87=55     c: 780, revs: 1
55+783=38    c: 781, revs: 8
38+62=0      c: 789, revs: 1
0+5=5        c: 790, revs: 0
5-29=76      c: 790, revs: 1
76+74=50     c: 791, revs: 1
50-50=0      c: 792, revs: 1
0-42=58      c: 793, revs: 0
58+630=88    c: 793, revs: 6
88-78=10     c: 799, revs: 0
10-20=90     c: 799, revs: 1
90-90=0      c: 800, revs: 1
0-11=89      c: 801, revs: 0
89+21=10     c: 801, revs: 1
10+90=0      c: 802, revs: 1
0-449=51     c: 803, revs: 4
51-51=0      c: 807, revs: 1
0+811=11     c: 808, revs: 8
11+89=0      c: 816, revs: 1
0-59=41      c: 817, revs: 0
41+64=5      c: 817, revs: 1
5-5=0        c: 818, revs: 1
0-26=74      c: 819, revs: 0
74+8=82      c: 819, revs: 0
82-62=20     c: 819, revs: 0
20-69=51     c: 819, revs: 1
51+567=18    c: 820, revs: 6
18+71=89     c: 826, revs: 0
89+24=13     c: 826, revs: 1
13+22=35     c: 827, revs: 0
35-35=0      c: 827, revs: 1
0+804=4      c: 828, revs: 8
4+59=63      c: 836, revs: 0
63-11=52     c: 836, revs: 0
52-33=19     c: 836, revs: 0
19-97=22     c: 836, revs: 1
22-25=97     c: 837, revs: 1
97+781=78    c: 838, revs: 8
78-678=0     c: 846, revs: 7
0+11=11      c: 853, revs: 0
11+84=95     c: 853, revs: 0
95+5=0       c: 853, revs: 1
0-552=48     c: 854, revs: 5
48-48=0      c: 859, revs: 1
0-30=70      c: 860, revs: 0
70-49=21     c: 860, revs: 0
21+79=0      c: 860, revs: 1
0+79=79      c: 861, revs: 0
79-79=0      c: 861, revs: 1
0-23=77      c: 862, revs: 0
77+96=73     c: 862, revs: 1
73+29=2      c: 863, revs: 1
2-2=0        c: 864, revs: 1
0+37=37      c: 865, revs: 0
37+90=27     c: 865, revs: 1
27+16=43     c: 866, revs: 0
43-767=76    c: 866, revs: 8
76+172=48    c: 874, revs: 2
48+852=0     c: 876, revs: 9
0+958=58     c: 885, revs: 9
58+42=0      c: 894, revs: 1
0+54=54      c: 895, revs: 0
54-13=41     c: 895, revs: 0
41-63=78     c: 895, revs: 1
78-95=83     c: 896, revs: 1
83+393=76    c: 897, revs: 4
76-44=32     c: 901, revs: 0
32+42=74     c: 901, revs: 0
74+68=42     c: 901, revs: 1
42+758=0     c: 902, revs: 8
0+64=64      c: 910, revs: 0
64+36=0      c: 910, revs: 1
0-76=24      c: 911, revs: 0
24+76=0      c: 911, revs: 1
0+12=12      c: 912, revs: 0
12+86=98     c: 912, revs: 0
98-426=72    c: 912, revs: 4
72+93=65     c: 916, revs: 1
65-165=0     c: 917, revs: 2
0-82=18      c: 919, revs: 0
18-18=0      c: 919, revs: 1
0+65=65      c: 920, revs: 0
65-65=0      c: 920, revs: 1
0-73=27      c: 921, revs: 0
27-49=78     c: 921, revs: 1
78-45=33     c: 922, revs: 0
33-59=74     c: 922, revs: 1
74+62=36     c: 923, revs: 1
36+22=58     c: 924, revs: 0
58+89=47     c: 924, revs: 1
47+53=0      c: 925, revs: 1
0-9=91       c: 926, revs: 0
91-91=0      c: 926, revs: 1
0+33=33      c: 927, revs: 0
33-46=87     c: 927, revs: 1
87-49=38     c: 928, revs: 0
38+62=0      c: 928, revs: 1
0-362=38     c: 929, revs: 3
38-57=81     c: 932, revs: 1
81-81=0      c: 933, revs: 1
0-914=86     c: 934, revs: 9
86-86=0      c: 943, revs: 1
0-57=43      c: 944, revs: 0
43+89=32     c: 944, revs: 1
32+668=0     c: 945, revs: 7
0-36=64      c: 952, revs: 0
64+97=61     c: 952, revs: 1
61+8=69      c: 953, revs: 0
69-97=72     c: 953, revs: 1
72+53=25     c: 954, revs: 1
25+53=78     c: 955, revs: 0
78+76=54     c: 955, revs: 1
54-93=61     c: 956, revs: 1
61+23=84     c: 957, revs: 0
84-53=31     c: 957, revs: 0
31+9=40      c: 957, revs: 0
40+460=0     c: 957, revs: 5
0-87=13      c: 962, revs: 0
13+87=0      c: 962, revs: 1
0+33=33      c: 963, revs: 0
33-47=86     c: 963, revs: 1
86+65=51     c: 964, revs: 1
51-54=97     c: 965, revs: 1
97-66=31     c: 966, revs: 0
31-48=83     c: 966, revs: 1
83+52=35     c: 967, revs: 1
35-12=23     c: 968, revs: 0
23-56=67     c: 968, revs: 1
67+941=8     c: 969, revs: 10
8+76=84      c: 979, revs: 0
84+3=87      c: 979, revs: 0
87+884=71    c: 979, revs: 9
71-71=0      c: 988, revs: 1
0+772=72     c: 989, revs: 7
72+28=0      c: 996, revs: 1
0-780=20     c: 997, revs: 7
20-73=47     c: 1004, revs: 1
47+26=73     c: 1005, revs: 0
73-73=0      c: 1005, revs: 1
0-1=99       c: 1006, revs: 0
99-68=31     c: 1006, revs: 0
31+242=73    c: 1006, revs: 2
73-73=0      c: 1008, revs: 1
0+82=82      c: 1009, revs: 0
82-82=0      c: 1009, revs: 1
0+47=47      c: 1010, revs: 0
47+94=41     c: 1010, revs: 1
41+509=50    c: 1011, revs: 5
50+53=3      c: 1016, revs: 1
3-3=0        c: 1017, revs: 1
0+72=72      c: 1018, revs: 0
72+69=41     c: 1018, revs: 1
41-37=4      c: 1019, revs: 0
4-83=21      c: 1019, revs: 1
21+79=0      c: 1020, revs: 1
0-385=15     c: 1021, revs: 3
15+208=23    c: 1024, revs: 2
23+629=52    c: 1026, revs: 6
52+88=40     c: 1032, revs: 1
40-752=88    c: 1033, revs: 8
88-29=59     c: 1041, revs: 0
59+42=1      c: 1041, revs: 1
1-4=97       c: 1042, revs: 1
